,Run,Domain,|S|,|A|,Actions Pruned,QM
0,0,Dollar-Euro_0_1,45,4,104,5.297014951705933
1,0,Dollar-Euro_0_2,45,4,60,5.889734745025635
2,0,Dollar-Euro_0_3,45,4,33,6.419525623321533
3,0,Dollar-Euro_0_4,45,4,26,5.983243942260742
4,1,Dollar-Euro_0_1,45,4,104,5.398613691329956
5,1,Dollar-Euro_0_2,45,4,58,5.917191028594971
6,1,Dollar-Euro_0_3,45,4,46,5.4703528881073
7,1,Dollar-Euro_0_4,45,4,47,6.357656240463257
8,2,Dollar-Euro_0_1,45,4,104,5.236349821090698
9,2,Dollar-Euro_0_2,45,4,49,6.967332601547241
10,2,Dollar-Euro_0_3,45,4,40,8.129485845565796
11,2,Dollar-Euro_0_4,45,4,30,7.2126405239105225
12,3,Dollar-Euro_0_1,45,4,104,6.210569858551025
13,3,Dollar-Euro_0_2,45,4,56,6.869677543640137
14,3,Dollar-Euro_0_3,45,4,33,6.657996654510498
15,3,Dollar-Euro_0_4,45,4,33,6.82573676109314
16,4,Dollar-Euro_0_1,45,4,104,7.216814041137695
17,4,Dollar-Euro_0_2,45,4,70,7.055473566055298
18,4,Dollar-Euro_0_3,45,4,34,7.75338339805603
19,4,Dollar-Euro_0_4,45,4,33,7.3319127559661865
