,Run,Domain,|S|,|A|,Actions Pruned,QM
0,10,Dollar-Euro_0_1,45,4,104,5.792557954788208
1,10,Dollar-Euro_0_2,45,4,55,6.156670570373535
2,10,Dollar-Euro_0_3,45,4,41,6.12780499458313
3,10,Dollar-Euro_0_4,45,4,24,6.0746424198150635
4,11,Dollar-Euro_0_1,45,4,104,5.486733436584473
5,11,Dollar-Euro_0_2,45,4,63,5.801771402359009
6,11,Dollar-Euro_0_3,45,4,48,5.4841883182525635
7,11,Dollar-Euro_0_4,45,4,38,6.168546199798584
8,12,Dollar-Euro_0_1,45,4,104,5.70258092880249
9,12,Dollar-Euro_0_2,45,4,61,7.0084147453308105
10,12,Dollar-Euro_0_3,45,4,39,7.483432054519653
11,12,Dollar-Euro_0_4,45,4,29,7.4737372398376465
12,13,Dollar-Euro_0_1,45,4,104,6.285489082336426
13,13,Dollar-Euro_0_2,45,4,44,5.989254951477051
14,13,Dollar-Euro_0_3,45,4,31,6.881143093109131
15,13,Dollar-Euro_0_4,45,4,32,7.99701452255249
16,14,Dollar-Euro_0_1,45,4,104,6.382627487182617
17,14,Dollar-Euro_0_2,45,4,53,7.799114942550659
18,14,Dollar-Euro_0_3,45,4,33,7.361995220184326
19,14,Dollar-Euro_0_4,45,4,25,7.258781671524048
