,Run,Domain,|S|,|A|,Actions Pruned,QM
0,20,Dollar-Euro_0_1,45,4,104,6.659879207611084
1,20,Dollar-Euro_0_2,45,4,35,7.634482145309448
2,20,Dollar-Euro_0_3,45,4,32,6.864859580993652
3,20,Dollar-Euro_0_4,45,4,34,7.137043476104736
4,21,Dollar-Euro_0_1,45,4,104,6.321377515792847
5,21,Dollar-Euro_0_2,45,4,69,5.9872071743011475
6,21,Dollar-Euro_0_3,45,4,32,6.0773584842681885
7,21,Dollar-Euro_0_4,45,4,33,7.456667900085449
8,22,Dollar-Euro_0_1,45,4,104,6.265958786010742
9,22,Dollar-Euro_0_2,45,4,62,12.778223276138306
10,22,Dollar-Euro_0_3,45,4,51,7.658724546432495
11,22,Dollar-Euro_0_4,45,4,30,7.353403091430664
12,23,Dollar-Euro_0_1,45,4,104,5.137279272079468
13,23,Dollar-Euro_0_2,45,4,69,5.491581916809082
14,23,Dollar-Euro_0_3,45,4,38,5.791041135787964
15,23,Dollar-Euro_0_4,45,4,33,7.212385177612305
16,24,Dollar-Euro_0_1,45,4,104,5.056410789489746
17,24,Dollar-Euro_0_2,45,4,50,5.566195011138916
18,24,Dollar-Euro_0_3,45,4,54,5.086221694946289
19,24,Dollar-Euro_0_4,45,4,37,5.046705961227417
