,Run,Domain,|S|,|A|,Actions Pruned,QM
0,5,Dollar-Euro_0_1,45,4,104,5.681437969207764
1,5,Dollar-Euro_0_2,45,4,38,6.12970232963562
2,5,Dollar-Euro_0_3,45,4,40,5.5074872970581055
3,5,Dollar-Euro_0_4,45,4,41,5.607551097869873
4,6,Dollar-Euro_0_1,45,4,104,5.020804166793823
5,6,Dollar-Euro_0_2,45,4,60,5.808389902114868
6,6,Dollar-Euro_0_3,45,4,37,5.527856826782227
7,6,Dollar-Euro_0_4,45,4,30,6.199143409729004
8,7,Dollar-Euro_0_1,45,4,104,5.230189800262451
9,7,Dollar-Euro_0_2,45,4,62,5.950573921203613
10,7,Dollar-Euro_0_3,45,4,38,8.201465368270874
11,7,Dollar-Euro_0_4,45,4,21,7.80618953704834
12,8,Dollar-Euro_0_1,45,4,104,6.203551769256592
13,8,Dollar-Euro_0_2,45,4,51,6.28071141242981
14,8,Dollar-Euro_0_3,45,4,43,5.959635972976685
15,8,Dollar-Euro_0_4,45,4,35,6.809377908706665
16,9,Dollar-Euro_0_1,45,4,104,7.266725540161133
17,9,Dollar-Euro_0_2,45,4,64,7.073993444442749
18,9,Dollar-Euro_0_3,45,4,39,7.737721681594849
19,9,Dollar-Euro_0_4,45,4,25,7.408743619918823
