,Run,Domain info,QL
0,0,0_1,5.044599771499634
1,0,0_2,5.2932069301605225
2,0,0_3,5.418922185897827
3,0,0_4,5.31043267250061
4,1,0_1,5.8490424156188965
5,1,0_2,5.580803871154785
6,1,0_3,5.9233808517456055
7,1,0_4,5.848711013793945
8,2,0_1,5.491079807281494
9,2,0_2,5.490473508834839
10,2,0_3,5.625975608825684
11,2,0_4,5.7124669551849365
12,3,0_1,5.289649248123169
13,3,0_2,5.422856569290161
14,3,0_3,5.859426736831665
15,3,0_4,5.609180927276611
16,4,0_1,5.451789140701294
17,4,0_2,5.360046625137329
18,4,0_3,5.7484495639801025
19,4,0_4,5.323960304260254
20,5,0_1,5.198350429534912
21,5,0_2,5.205038785934448
22,5,0_3,5.642150640487671
23,5,0_4,5.587733507156372
24,6,0_1,4.643756151199341
25,6,0_2,5.299624919891357
26,6,0_3,5.2979416847229
27,6,0_4,5.65405535697937
28,7,0_1,5.1683619022369385
29,7,0_2,5.456192255020142
30,7,0_3,6.397589683532715
31,7,0_4,6.3690125942230225
32,8,0_1,5.237180233001709
33,8,0_2,5.852763652801514
34,8,0_3,5.798849105834961
35,8,0_4,6.106223821640015
36,9,0_1,10.251777410507202
37,9,0_2,10.801157712936401
38,9,0_3,6.233628988265991
39,9,0_4,5.842529773712158
