,Run,Domain,|S|,|A|,Actions Pruned,QM
0,15,Dollar-Euro_0_1,45,4,104,5.628294229507446
1,15,Dollar-Euro_0_2,45,4,48,6.732487916946411
2,15,Dollar-Euro_0_3,45,4,42,7.52372670173645
3,15,Dollar-Euro_0_4,45,4,30,7.471521854400635
4,16,Dollar-Euro_0_1,45,4,104,6.334882020950317
5,16,Dollar-Euro_0_2,45,4,62,5.760329723358154
6,16,Dollar-Euro_0_3,45,4,51,6.158233165740967
7,16,Dollar-Euro_0_4,45,4,19,7.005334854125977
8,17,Dollar-Euro_0_1,45,4,104,6.8695995807647705
9,17,Dollar-Euro_0_2,45,4,65,7.375930070877075
10,17,Dollar-Euro_0_3,45,4,54,7.563040018081665
11,17,Dollar-Euro_0_4,45,4,28,7.372817516326904
12,18,Dollar-Euro_0_1,45,4,104,5.85115122795105
13,18,Dollar-Euro_0_2,45,4,44,5.666191101074219
14,18,Dollar-Euro_0_3,45,4,43,5.397430658340454
15,18,Dollar-Euro_0_4,45,4,26,6.794671297073364
16,19,Dollar-Euro_0_1,45,4,104,5.370236396789551
17,19,Dollar-Euro_0_2,45,4,49,5.603718996047974
18,19,Dollar-Euro_0_3,45,4,35,5.478971719741821
19,19,Dollar-Euro_0_4,45,4,25,6.000536918640137
