,Run,Domain,|S|,|A|,Actions Pruned,QM,optimal_pruned
0,10,ours_1,18,12,0,8.289192914962769,0
1,10,ours_3,18,12,0,9.188704252243042,0
2,10,ours_5,18,12,0,13.300706386566162,0
3,11,ours_1,24,15,230,10.989961624145508,0
4,11,ours_3,24,15,99,11.786971807479858,0
5,11,ours_5,24,15,0,19.26665949821472,0
6,12,ours_1,20,20,268,12.70193862915039,0
7,12,ours_3,20,20,125,15.167471647262573,0
8,12,ours_5,20,20,0,23.557796478271484,0
9,13,ours_1,74,20,1181,32.01731276512146,0
10,13,ours_3,74,20,341,52.59854054450989,0
11,13,ours_5,74,20,0,69.9717526435852,0
12,14,ours_1,68,13,642,35.09834551811218,0
13,14,ours_3,68,13,0,92.59369659423828,0
14,14,ours_5,68,13,0,95.0419819355011,0
15,15,ours_1,30,13,274,31.829360723495483,0
16,15,ours_3,30,13,0,42.92596483230591,0
17,15,ours_5,30,13,0,49.55290365219116,0
18,16,ours_1,57,17,718,13.429120540618896,0
19,16,ours_3,57,17,0,26.995893001556396,0
20,16,ours_5,57,17,0,31.048382997512817,0
21,17,ours_1,80,20,1193,21.44619846343994,0
22,17,ours_3,80,20,438,33.14577579498291,0
23,17,ours_5,80,20,0,86.11466789245605,0
24,18,ours_1,28,16,309,9.80364727973938,0
25,18,ours_3,28,16,110,11.616579294204712,0
26,18,ours_5,28,16,0,18.97775626182556,0
27,19,ours_1,54,9,331,27.839648008346558,0
28,19,ours_3,54,9,0,54.46663308143616,0
29,19,ours_5,54,9,0,57.21025371551514,0
