,Run,Domain,|S|,|A|,Actions Pruned,QM
0,25,RT_0_1,49,7,177,34.379448652267456
1,25,RT_0_3,49,7,75,38.31677269935608
2,25,RT_0_5,49,7,48,35.89983105659485
3,25,RT_0_7,49,7,42,37.25869035720825
4,26,RT_0_1,49,7,177,36.40756630897522
5,26,RT_0_3,49,7,60,38.70063495635986
6,26,RT_0_5,49,7,43,36.423582792282104
7,26,RT_0_7,49,7,40,36.95567774772644
8,27,RT_0_1,49,7,177,29.00682282447815
9,27,RT_0_3,49,7,78,31.659793615341187
10,27,RT_0_5,49,7,65,33.70519733428955
11,27,RT_0_7,49,7,54,35.85458207130432
12,28,RT_0_1,49,7,177,29.669482946395874
13,28,RT_0_3,49,7,62,37.52762699127197
14,28,RT_0_5,49,7,58,57.343000650405884
15,28,RT_0_7,49,7,58,51.366933822631836
16,29,RT_0_1,49,7,177,46.472590923309326
17,29,RT_0_3,49,7,81,46.32315993309021
18,29,RT_0_5,49,7,55,44.65077996253967
19,29,RT_0_7,49,7,38,53.13718891143799
