,Run,Domain info,SFQL
0,0,0_1,83.3431224822998
1,0,0_3,70.8395299911499
2,0,0_5,79.99426126480103
3,0,0_7,72.90538382530212
4,1,0_1,102.70834565162659
5,1,0_3,98.61111330986023
6,1,0_5,77.1704409122467
7,1,0_7,82.02345728874207
8,2,0_1,96.37691640853882
9,2,0_3,97.06783676147461
10,2,0_5,93.75446915626526
11,2,0_7,91.29688930511475
12,3,0_1,101.94555234909058
13,3,0_3,88.32583093643188
14,3,0_5,104.34545874595642
15,3,0_7,100.10565710067749
16,4,0_1,123.98485970497131
17,4,0_3,95.83295059204102
18,4,0_5,101.97032499313354
19,4,0_7,100.39477872848511
20,5,0_1,145.11380672454834
21,5,0_3,120.51346445083618
22,5,0_5,107.40880155563354
23,5,0_7,97.11592602729797
24,6,0_1,111.86879515647888
25,6,0_3,126.43590450286865
26,6,0_5,101.32793021202087
27,6,0_7,88.60182452201843
28,7,0_1,105.56795191764832
29,7,0_3,104.51264786720276
30,7,0_5,86.87438726425171
31,7,0_7,123.77555441856384
32,8,0_1,169.94152855873108
33,8,0_3,135.14208054542542
34,8,0_5,125.34893321990967
35,8,0_7,123.00355291366577
36,9,0_1,143.68742418289185
37,9,0_3,161.2158863544464
38,9,0_5,141.43645453453064
39,9,0_7,105.71696424484253
