,Run,Domain,|S|,|A|,Actions Pruned,QM
0,0,RT_0_1,49,7,177,21.942111492156982
1,0,RT_0_3,49,7,67,25.391627550125122
2,0,RT_0_5,49,7,45,27.074853897094727
3,0,RT_0_7,49,7,57,25.585129737854004
4,1,RT_0_1,49,7,177,23.92788052558899
5,1,RT_0_3,49,7,93,25.69557476043701
6,1,RT_0_5,49,7,64,24.612858772277832
7,1,RT_0_7,49,7,46,33.26759219169617
8,2,RT_0_1,49,7,177,26.30509066581726
9,2,RT_0_3,49,7,83,29.13442850112915
10,2,RT_0_5,49,7,81,29.28472089767456
11,2,RT_0_7,49,7,42,30.197473526000977
12,3,RT_0_1,49,7,177,25.54641819000244
13,3,RT_0_3,49,7,67,30.71543550491333
14,3,RT_0_5,49,7,71,33.267186641693115
15,3,RT_0_7,49,7,34,36.357672929763794
16,4,RT_0_1,49,7,177,30.27398419380188
17,4,RT_0_3,49,7,69,31.834248065948486
18,4,RT_0_5,49,7,54,32.307153940200806
19,4,RT_0_7,49,7,44,33.479822635650635
