,Run,Domain info,SFQL
0,20,0_1,123.6367871761322
1,20,0_3,115.91316437721252
2,20,0_5,110.70895481109619
3,20,0_7,112.80939865112305
4,21,0_1,119.96400690078735
5,21,0_3,99.0259063243866
6,21,0_5,94.88586711883545
7,21,0_7,91.54623317718506
8,22,0_1,124.74233055114746
9,22,0_3,156.49570488929749
10,22,0_5,137.56531047821045
11,22,0_7,107.5601179599762
12,23,0_1,147.33579540252686
13,23,0_3,134.57326531410217
14,23,0_5,129.3352870941162
15,23,0_7,105.86450171470642
16,24,0_1,165.83211541175842
17,24,0_3,98.24782180786133
18,24,0_5,91.20426392555237
19,24,0_7,134.6866636276245
20,25,0_1,160.03703260421753
21,25,0_3,122.41425943374634
22,25,0_5,83.6205906867981
23,25,0_7,73.0556914806366
24,26,0_1,87.51894283294678
25,26,0_3,79.31021761894226
26,26,0_5,123.67687964439392
27,26,0_7,158.26194405555725
28,27,0_1,167.8955602645874
29,27,0_3,142.24011874198914
30,27,0_5,125.30257868766785
31,27,0_7,109.67705583572388
32,28,0_1,116.70818138122559
33,28,0_3,73.72189903259277
34,28,0_5,76.30515336990356
35,28,0_7,67.61330938339233
36,29,0_1,77.4056704044342
37,29,0_3,69.89138913154602
38,29,0_5,70.49180364608765
39,29,0_7,67.10581421852112
