,Run,Domain,|S|,|A|,Actions Pruned,QM
0,20,RT_0_1,49,7,177,34.624460220336914
1,20,RT_0_3,49,7,72,40.128721475601196
2,20,RT_0_5,49,7,74,37.48211073875427
3,20,RT_0_7,49,7,40,50.11050772666931
4,21,RT_0_1,49,7,177,40.28508996963501
5,21,RT_0_3,49,7,75,42.472574949264526
6,21,RT_0_5,49,7,71,36.913320541381836
7,21,RT_0_7,49,7,45,44.21827268600464
8,22,RT_0_1,49,7,177,33.43226909637451
9,22,RT_0_3,49,7,80,42.30670237541199
10,22,RT_0_5,49,7,41,34.09179902076721
11,22,RT_0_7,49,7,40,46.303833961486816
12,23,RT_0_1,49,7,177,34.47916603088379
13,23,RT_0_3,49,7,84,34.985859394073486
14,23,RT_0_5,49,7,48,32.964839220047
15,23,RT_0_7,49,7,37,33.69503045082092
16,24,RT_0_1,49,7,177,30.12497615814209
17,24,RT_0_3,49,7,70,32.658146381378174
18,24,RT_0_5,49,7,61,36.79029083251953
19,24,RT_0_7,49,7,33,44.62331676483154
