,Run,Domain,|S|,|A|,Actions Pruned,QM
0,15,RT_0_1,49,7,177,34.65164542198181
1,15,RT_0_3,49,7,87,39.47116184234619
2,15,RT_0_5,49,7,88,33.83883547782898
3,15,RT_0_7,49,7,29,37.46033215522766
4,16,RT_0_1,49,7,177,30.82191038131714
5,16,RT_0_3,49,7,76,37.02333736419678
6,16,RT_0_5,49,7,57,44.82064867019653
7,16,RT_0_7,49,7,62,44.61433219909668
8,17,RT_0_1,49,7,177,39.10793733596802
9,17,RT_0_3,49,7,65,46.35560369491577
10,17,RT_0_5,49,7,64,39.65818166732788
11,17,RT_0_7,49,7,44,37.457329511642456
12,18,RT_0_1,49,7,177,33.52464175224304
13,18,RT_0_3,49,7,80,35.203516483306885
14,18,RT_0_5,49,7,63,38.17348527908325
15,18,RT_0_7,49,7,43,37.61675000190735
16,19,RT_0_1,49,7,177,35.4854781627655
17,19,RT_0_3,49,7,79,38.99738025665283
18,19,RT_0_5,49,7,68,33.14009737968445
19,19,RT_0_7,49,7,48,38.2183895111084
