,Run,Domain,|S|,|A|,Actions Pruned,QM
0,25,ours_1,42,16,493,23.66975164413452
1,25,ours_5,42,16,63,41.34563326835632
2,25,ours_9,42,16,17,39.003023862838745
3,26,ours_1,55,9,335,17.358086347579956
4,26,ours_5,55,9,26,33.545408964157104
5,26,ours_9,55,9,1,27.245213985443115
6,27,ours_1,17,12,129,13.68941617012024
7,27,ours_5,17,12,3,24.796148777008057
8,27,ours_9,17,12,5,22.436265468597412
9,28,ours_1,45,19,649,19.151182413101196
10,28,ours_5,45,19,174,13.270421028137207
11,28,ours_9,45,19,49,20.953811168670654
12,29,ours_1,39,10,276,25.36679196357727
13,29,ours_5,39,10,1,32.111350774765015
14,29,ours_9,39,10,0,30.06529927253723
