,Run,Domain,|S|,|A|,Actions Pruned,QM
0,20,ours_1,70,14,730,14.661234140396118
1,20,ours_5,70,14,134,23.11516809463501
2,20,ours_9,70,14,0,37.97079515457153
3,21,ours_1,55,17,685,28.08980941772461
4,21,ours_5,55,17,157,29.442677974700928
5,21,ours_9,55,17,54,25.406736135482788
6,22,ours_1,70,9,430,22.793955326080322
7,22,ours_5,70,9,25,70.53405022621155
8,22,ours_9,70,9,8,21.32029938697815
9,23,ours_1,27,13,254,6.353660821914673
10,23,ours_5,27,13,93,7.052046298980713
11,23,ours_9,27,13,2,11.080650329589844
12,24,ours_1,32,11,244,6.307756423950195
13,24,ours_5,32,11,42,9.987141847610474
14,24,ours_9,32,11,3,10.643076658248901
