,Run,Domain,|S|,|A|,Actions Pruned,QM
0,0,ours_1,26,19,335,12.764622926712036
1,0,ours_5,26,19,43,16.55164623260498
2,0,ours_9,26,19,5,21.381008625030518
3,1,ours_1,48,19,655,16.824222326278687
4,1,ours_5,48,19,80,23.859699487686157
5,1,ours_9,48,19,51,45.47992515563965
6,2,ours_1,27,15,285,17.61825728416443
7,2,ours_5,27,15,45,17.602507829666138
8,2,ours_9,27,15,45,20.753875255584717
9,3,ours_1,31,16,335,15.053415536880493
10,3,ours_5,31,16,45,31.869754791259766
11,3,ours_9,31,16,1,24.566320419311523
12,4,ours_1,64,12,573,20.6704740524292
13,4,ours_5,64,12,70,24.23098087310791
14,4,ours_9,64,12,0,36.221370458602905
