,Run,Domain,|S|,|A|,Actions Pruned,QM
0,10,ours_1,75,19,1128,11.87795114517212
1,10,ours_5,75,19,142,26.64298677444458
2,10,ours_9,75,19,53,60.705373764038086
3,11,ours_1,44,9,285,9.101295471191406
4,11,ours_5,44,9,2,11.311130046844482
5,11,ours_9,44,9,1,12.426082372665405
6,12,ours_1,41,17,484,14.950071573257446
7,12,ours_5,41,17,19,20.88243079185486
8,12,ours_9,41,17,14,36.07653307914734
9,13,ours_1,75,11,582,16.938743829727173
10,13,ours_5,75,11,10,19.883513927459717
11,13,ours_9,75,11,13,29.208699703216553
12,14,ours_1,64,11,528,6.2429585456848145
13,14,ours_5,64,11,51,16.068650245666504
14,14,ours_9,64,11,10,11.462966918945312
