,Run,Domain,|S|,|A|,Actions Pruned,QM
0,15,ours_1,68,14,739,16.578280210494995
1,15,ours_5,68,14,67,24.02292799949646
2,15,ours_9,68,14,27,29.63304877281189
3,16,ours_1,22,14,206,22.710102558135986
4,16,ours_5,22,14,72,27.19121551513672
5,16,ours_9,22,14,37,31.580005168914795
6,17,ours_1,38,12,337,13.755831956863403
7,17,ours_5,38,12,76,28.215665578842163
8,17,ours_9,38,12,28,18.76798701286316
9,18,ours_1,70,15,748,10.440322160720825
10,18,ours_5,70,15,6,24.939608812332153
11,18,ours_9,70,15,2,37.93671989440918
12,19,ours_1,58,15,645,16.331274032592773
13,19,ours_5,58,15,67,43.48748993873596
14,19,ours_9,58,15,3,51.9577362537384
